iso_a3,wgt,more_selfish,more_criminal,gov_should_reduce_inequality,inequality_unfair,WP1219,WP1220,WP3117,income_2,WP14
EGY,1.2361274762256313,NA,5,5,5,1,54,1,10588.517878435043,2
EGY,0.7810645960278166,2,NA,5,5,2,29,3,7623.732872473231,3
EGY,1.4328261965628635,NA,NA,5,5,2,67,1,8470.814302748035,2
EGY,0.8153091136386151,NA,NA,5,5,1,33,2,6353.1107270610255,2
EGY,0.8926733930519107,NA,NA,5,5,2,28,1,5700.858025749427,3
EGY,0.6068004033061049,1,4,4,3,2,39,3,21177.035756870086,3
EGY,1.216448261628326,NA,3,5,5,2,21,2,8470.814302748035,2
EGY,0.6068004033061049,NA,NA,5,5,2,33,3,10588.517878435043,3
EGY,1.0748036796806706,5,5,5,5,1,41,2,6776.6514421984275,2
EGY,0.6180637381128157,NA,NA,5,5,1,72,1,6353.1107270610255,2
EGY,0.6935080372087912,NA,NA,5,5,2,35,1,12706.221454122051,3
EGY,1.2189814109539798,NA,NA,5,5,2,42,1,4235.407151374017,2
EGY,0.5258196767699839,4,NA,2,5,1,44,1,5082.48858164882,2
EGY,0.3905322980139083,NA,2,5,5,2,21,2,8470.814302748035,3
EGY,0.8926733930519107,4,5,5,5,2,28,1,6353.1107270610255,2
EGY,1.3519718065027393,NA,4,4,4,1,62,2,19059.332181183076,2
EGY,1.3519718065027393,NA,NA,4,4,1,58,3,16941.62860549607,2
EGY,0.6068004033061049,NA,4,5,5,2,32,2,8470.814302748035,2
EGY,0.7165357864537805,NA,5,5,5,1,40,2,10588.517878435043,2
EGY,2.231683482629777,NA,NA,5,5,2,15,1,8470.814302748035,2
EGY,0.6180637381128157,NA,NA,5,5,1,63,1,6353.1107270610255,2
EGY,1.5402539555656645,NA,NA,5,5,1,19,1,3388.3257210992138,2
EGY,0.35820654914071587,NA,NA,5,5,2,71,1,12706.221454122051,3
EGY,1.010759794355871,NA,NA,5,5,1,25,2,16941.62860549607,2
EGY,0.6094907054769899,NA,3,3,2,2,45,1,2541.24429082441,3
EGY,0.8153091136386151,NA,NA,NA,4,1,38,2,14823.92502980906,3
EGY,1.216448261628326,2,NA,5,5,2,28,2,8470.814302748035,3
EGY,0.7164130982814317,4,NA,5,NA,2,52,1,5082.48858164882,2
EGY,1.216448261628326,NA,NA,5,5,2,29,2,4235.407151374017,2
EGY,1.216448261628326,NA,NA,5,5,2,24,2,8894.355017885437,2
EGY,0.9450451339248647,NA,NA,5,5,2,30,2,5251.904867703781,2
EGY,0.9450451339248647,5,NA,5,4,2,37,2,10588.517878435043,3
EGY,2.6236348888700896,2,NA,5,5,2,17,2,8894.355017885437,3
EGY,1.5741809333324526,2,NA,5,5,1,17,2,8470.814302748035,2
EGY,0.9762579178402069,NA,NA,3,3,2,53,2,12706.221454122051,3
EGY,0.5983030892606118,NA,NA,5,5,1,38,1,8470.814302748035,1
EGY,0.6901165699848665,NA,4,5,5,1,45,3,10588.517878435043,3
EGY,0.8926733930519107,NA,NA,5,5,2,25,1,7200.192157335829,2
EGY,0.6094907054769899,5,NA,5,5,2,47,1,8470.814302748035,2
EGY,1.0815774452021913,NA,1,4,2,1,61,3,84708.14302748034,2
EGY,1.6306182272772303,5,NA,5,5,1,31,2,10588.517878435043,3
EGY,1.216448261628326,NA,NA,5,5,2,24,2,5082.48858164882,3
EGY,0.35820654914071587,NA,2,5,5,2,68,1,8470.814302748035,6
EGY,2.6236348888700896,NA,4,5,5,2,15,2,5082.48858164882,1
EGY,0.6738398629039141,5,NA,5,5,1,28,3,10588.517878435043,1
EGY,1.5402539555656645,NA,5,5,5,1,20,1,16941.62860549607,1
EGY,0.6935080372087912,NA,NA,5,5,2,34,1,8470.814302748035,1
EGY,2.3626128348121616,5,NA,5,5,2,38,2,12706.221454122051,1
EGY,0.7164130982814317,4,NA,NA,5,2,58,1,6353.1107270610255,1
EGY,1.8246723924424892,NA,NA,5,5,2,17,2,6353.1107270610255,1
EGY,0.8926733930519107,5,5,5,5,2,28,1,4235.407151374017,1
EGY,0.7164130982814317,3,NA,5,5,2,52,1,4235.407151374017,3
EGY,0.9450451339248647,NA,NA,5,5,2,35,2,10588.517878435043,3
EGY,2.432896523256652,NA,NA,1,5,2,19,2,11012.058593572445,3
EGY,2.6236348888700896,2,NA,5,5,1,17,2,10588.517878435043,3
EGY,1.661109012382072,2,NA,5,2,2,40,2,14823.92502980906,3
EGY,0.35820654914071587,NA,NA,5,NA,2,63,1,1524.7465744946462,3
EGY,0.6935080372087912,NA,NA,4,NA,2,30,1,6353.1107270610255,3
EGY,2.6236348888700896,NA,NA,5,5,2,22,2,6353.1107270610255,3
EGY,2.432896523256652,NA,NA,5,5,2,23,2,8470.814302748035,2
EGY,0.3582065491086283,NA,NA,5,5,1,43,3,6353.1107270610255,2
EGY,1.216448261628326,NA,3,5,5,2,24,2,4235.407151374017,2
